항목명1,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        파,26.218,29.96,20.857,29.825,71.016,34.345,34.124,38.031,42.614,49.738,48.749,45.629,48.989,83.199,63.669,62.594,83.467,69.781,70.094,73.348,123.106,98.423,107.254,103.329,71.156,100,120.26,113.59,114.66,95.21
        양파,34.675,46.637,23.226,26.75,59.25,35.176,43.315,47.249,47.481,50.09,51.841,46.531,44.903,82.699,67.523,63.41,75.072,68.488,71.833,83.627,86.14,81.761,87.412,126.546,74.66,100,107.05,115.34,92.93,79.01
        마늘,33.651,27.521,23.444,27.517,43.089,44.579,35.259,42.358,58.064,53.014,43.145,42.29,49.589,51.078,60.635,57.48,58.151,65.572,61.955,60.369,91.814,110.084,101.292,93.978,81.134,100,132.15,123.72,118.72,102
        브로콜리,,,,,,,,,,,,,,,,94.988,90.626,93.5,79.962,87.167,111.226,104.794,134.637,118.63,110.262,100,128.41,116.25,130.06,132.2
        고사리,39.478,34.11,33.728,37.555,40.634,43.618,45.527,45.818,50.136,56.159,56.094,58.291,59.16,62.367,66.76,69.428,69.22,70.204,71.859,78.218,83.981,89.454,94.064,95.924,100.178,100,97.62,97.73,98.99,99.13
        파프리카,,,,,,,,,,,,,,,,,,,,,,,,,,100,110.37,104.6,120.1,105.05
        단무지,33.886,38.025,41.654,43.953,47.341,48.5,51.9,52.696,54.151,57.906,67.017,67.201,66.944,68.061,72.663,73.612,74.275,74.833,81.875,83.078,84.94,92.346,94.35,97.405,101.806,100,93.79,92.54,95.76,99.08
        김,71.878,75.664,57.278,58.953,60.151,57.939,57.326,57.94,68.006,68.88,66.027,65.069,64.987,65.614,65.977,67.595,68.603,69.656,73.74,75.874,78.55,82.582,87.146,93.247,98.955,100,107.61,129,139.28,141.82
        맛김,49.662,52.401,51.834,50.191,50.87,51.593,51.812,52.435,54.564,54.603,52.53,52.631,52.884,53.533,55.017,56.689,58.881,67.332,72.547,78.811,81.379,88.275,95.057,96.851,98.007,100,102.94,111.38,114.42,112.8
        미역,23.801,27.105,34.071,39.416,40.656,40.877,41.044,41.096,42.873,42.795,42.195,42.298,42.843,43.152,43.43,44.319,46.627,48.843,55.991,61.997,62.422,68.025,86.469,95.633,98.062,100,100.36,101.18,104.47,105.03
        초콜릿,30.154,30.138,30.172,30.338,30.372,31.164,31.281,36.133,50.027,55.894,55.741,54.97,55.104,54.886,54.199,53.85,53.437,56.372,69.588,78.864,81.074,81.283,81.466,81.918,95.618,100,100.14,99.38,99.85,102.47
        사탕,23.863,23.949,27.393,29.171,29.713,29.674,32.374,35.611,50.786,52.586,52.106,51.707,51.702,52.762,56.205,58.385,59.547,60.973,67.813,75.485,75.114,84.423,91.426,98.973,102.025,100,98.47,97.47,97.36,97.06
        껌,21.444,21.575,21.654,21.69,28.372,32.098,38.402,46.316,74.514,78.376,77.128,75.817,74.956,74.93,74.725,74.795,75.02,78.466,87.939,95.742,98.896,99.349,101.565,101.526,100.41,100,99.01,97.2,95.57,93.65
        아이스크림,25.028,25.347,25.654,30.483,35.221,38.261,41.808,47.257,64.229,65.643,64.56,63.36,62.15,60.59,59.573,61.396,62.215,60.998,69.777,76.959,77.372,84.556,87.952,89.309,96.162,100,99.84,97.06,96.27,98.14
        비스킷,13.244,13.369,15.011,15.262,16.194,19.033,19.293,28.969,39.743,37.055,36.939,36.358,36.427,38.861,40.395,41.991,44.1,47.812,63.325,71.988,72.034,80.391,82.396,87.783,99.2,100,100.49,103.44,100.93,100.95
        스낵과자,22.352,23.172,23.157,23.115,23.043,24.623,32.511,37.239,42.815,42.058,42.395,51.773,51.911,51.932,52.957,58.995,59.418,65.031,76.621,81.281,79.738,85.394,90.246,93.47,99.432,100,99.28,103,104.24,107.86
        파이,27.929,29.228,29.662,30.961,31.316,33.586,41.472,42.813,46.894,46.241,44.996,44.058,49.675,51.355,51.04,50.984,52.169,58.487,69.265,72.239,72.398,72.591,74.992,85.029,98.047,100,88.94,86.83,87.88,88.4
        설탕,36.291,35.831,35.524,38.198,38.661,41.829,43.517,48.124,75.447,63.443,52.335,56.281,56.731,55.178,55.095,55.466,65.371,65.921,66.273,77.625,82.025,100.617,104.144,100.771,100.395,100,99.46,99.81,100.38,101.17
